"color","cut","clarity","price","city","depth","carat","table","x","y","z"
H,Very Good,SI2,1970,Zurich,62.9,0.72,57.0,5.64,5.68,3.56
H,Very Good,SI2,4537,Surat,62.5,1.13,62.0,6.59,6.66,4.14
F,Good,SI1,2941,Kimberly,63.8,0.8,59.0,5.83,5.87,3.73
E,Ideal,VVS2,2808,Antwerp,60.9,0.58,56.0,5.41,5.43,3.3
E,Very Good,SI1,882,Antwerp,63.5,0.4,55.0,4.71,4.67,2.98
E,Good,SI1,682,Kimberly,64.2,0.4,56.0,4.66,4.69,3.0
G,Very Good,VS1,605,Antwerp,62.9,0.3,57.0,4.28,4.31,2.7
I,Very Good,SI1,16420,Madrid,63.6,2.04,60.0,7.97,7.86,5.03
G,Premium,SI1,4785,Surat,61.0,1.01,59.0,6.45,6.51,3.95
F,Very Good,VVS1,3270,Madrid,59.3,0.7,62.0,5.74,5.77,3.41
G,Very Good,SI1,6127,Dubai,62.8,1.19,57.0,6.71,6.77,4.23
G,Very Good,VS1,791,Kimberly,60.8,0.4,59.0,4.75,4.83,2.91
F,Very Good,SI1,1442,Surat,59.4,0.58,58.0,5.45,5.5,3.25
E,Very Good,VS2,14338,Paris,60.8,1.51,60.0,7.3,7.36,4.46
I,Ideal,VVS2,507,Zurich,62.8,0.3,57.0,4.26,4.28,2.68
H,Ideal,SI1,637,London,61.2,0.38,55.1,4.69,4.73,2.88
F,Premium,VVS1,10341,London,60.8,1.01,58.0,6.55,6.48,3.96
G,Ideal,IF,1101,Kimberly,61.9,0.39,54.0,4.67,4.73,2.91
F,Ideal,VS2,460,Paris,62.2,0.25,54.0,4.03,4.07,2.52
G,Ideal,VS2,459,Surat,61.4,0.27,55.0,4.19,4.21,2.58
D,Very Good,SI1,14295,Tel Aviv,60.6,1.52,57.8,7.4,7.46,4.51
H,Very Good,SI1,18236,Luxembourg,61.1,2.02,58.0,8.07,8.16,4.96
H,Premium,VVS1,1196,Kimberly,60.1,0.44,58.0,4.96,4.92,2.97
H,Premium,SI2,5218,Paris,61.9,1.21,55.0,6.84,6.79,4.22
G,Premium,VVS2,9188,London,58.2,1.18,62.0,6.92,6.89,4.02
I,Ideal,VS1,5103,Amsterdam,62.2,1.07,58.0,6.52,6.57,4.07
F,Very Good,VVS2,3112,Amsterdam,57.3,0.68,60.0,5.83,5.89,3.36
D,Very Good,VS2,1632,London,63.2,0.5,60.0,5.04,5.02,3.18
D,Good,SI2,2388,Paris,63.7,0.7,58.0,5.64,5.6,3.58
H,Ideal,SI1,760,Dubai,60.9,0.42,56.0,4.89,4.86,2.97
G,Ideal,VS2,6972,Antwerp,60.2,1.1,56.0,6.7,6.74,4.05
E,Premium,SI1,1155,New York City,61.4,0.5,58.0,5.17,5.09,3.15
D,Ideal,VS1,1064,Zurich,61.7,0.36,55.0,4.59,4.62,2.84
D,Ideal,VS1,707,New York City,61.1,0.32,56.0,4.44,4.47,2.72
H,Ideal,SI1,6518,Antwerp,62.1,1.2,56.0,6.83,6.76,4.22
J,Premium,VS2,4968,Amsterdam,61.9,1.21,58.0,6.84,6.79,4.22
I,Very Good,SI1,3176,Antwerp,61.8,0.9,58.0,6.2,6.26,3.85
F,Ideal,I1,3623,Kimberly,61.3,1.1,56.9,6.62,6.68,4.08
I,Ideal,IF,655,Paris,61.7,0.32,55.0,4.4,4.42,2.72
D,Premium,SI2,3943,Kimberly,61.0,0.91,61.0,6.24,6.16,3.78
E,Very Good,SI1,1438,Dubai,62.8,0.51,56.0,5.07,5.15,3.21
I,Premium,VS2,6156,Antwerp,59.3,1.22,59.0,7.01,6.96,4.14
E,Very Good,SI1,2312,Surat,60.3,0.7,60.0,5.77,5.81,3.49
H,Premium,SI1,2112,New York City,62.4,0.71,59.0,5.65,5.6,3.51
J,Premium,SI1,4838,Kimberly,61.4,1.2,59.0,6.87,6.82,4.2
E,Fair,VS2,813,Paris,64.7,0.4,58.0,4.63,4.67,3.01
E,Good,SI1,5226,Paris,63.6,1.01,60.0,6.38,6.32,4.04
G,Premium,VS2,12308,Dubai,61.2,1.5,61.0,7.34,7.29,4.48
F,Premium,VS2,10431,Antwerp,61.1,1.34,58.0,7.12,7.05,4.33
D,Premium,VS1,3601,Kimberly,62.7,0.72,56.0,5.76,5.69,3.59
F,Premium,SI2,5120,Antwerp,61.1,1.15,57.0,6.82,6.77,4.15
F,Ideal,SI2,2841,New York City,62.3,0.82,56.0,5.96,6.02,3.73
G,Premium,SI2,4158,Surat,61.2,1.12,58.0,6.69,6.67,4.09
I,Fair,VS2,1436,Madrid,57.2,0.67,70.0,5.82,5.75,3.31
H,Ideal,VS1,720,Kimberly,61.5,0.32,57.0,4.42,4.4,2.71
G,Fair,SI2,2117,Surat,65.2,0.7,56.0,5.63,5.54,3.64
F,Good,SI1,4936,Surat,64.3,1.02,58.0,6.28,6.32,4.05
D,Ideal,VS2,972,Kimberly,62.5,0.32,56.0,4.45,4.38,2.76
I,Ideal,VS1,628,Madrid,62.8,0.31,55.0,4.35,4.31,2.72
F,Premium,SI2,4416,Paris,62.2,1.01,59.0,6.38,6.42,3.98
I,Very Good,SI1,4525,Antwerp,63.2,1.01,54.0,6.41,6.35,4.03
F,Premium,VS2,1753,New York City,60.6,0.53,55.0,5.26,5.23,3.18
D,Premium,SI1,4612,New York City,62.8,0.9,59.0,6.18,6.14,3.87
G,Very Good,VS2,6525,Zurich,62.9,1.07,59.0,6.49,6.52,4.09
G,Premium,VS1,13720,Las Vegas,60.8,1.5,61.0,7.36,7.29,4.45
H,Very Good,SI2,4422,Las Vegas,62.9,1.1,58.0,6.53,6.56,4.12
J,Good,VS2,784,Kimberly,64.3,0.41,55.0,4.7,4.66,3.01
D,Very Good,I1,2291,New York City,63.4,1.01,61.0,6.38,6.3,4.02
G,Very Good,VS2,6177,Surat,61.8,1.04,56.0,6.47,6.5,4.01
D,Good,SI1,667,Tel Aviv,60.3,0.4,61.0,4.74,4.78,2.87
D,Premium,VS2,982,Paris,60.5,0.4,59.0,4.76,4.8,2.89
G,Very Good,SI1,11613,Madrid,62.3,1.59,60.0,7.42,7.49,4.64
D,Very Good,VVS2,478,Zurich,61.5,0.24,58.0,3.96,3.98,2.44
J,Very Good,I1,10437,Madrid,62.3,2.63,61.0,8.76,8.81,5.47
F,Premium,VS2,4838,London,62.3,0.9,58.0,6.16,6.14,3.83
D,Ideal,SI1,732,Kimberly,63.0,0.31,55.0,4.34,4.32,2.73
G,Very Good,SI1,4903,Paris,63.1,1.03,58.0,6.41,6.37,4.03
D,Premium,SI1,1949,Tel Aviv,58.9,0.57,59.0,5.46,5.41,3.2
H,Ideal,VS2,1427,New York City,61.5,0.53,56.0,5.21,5.26,3.22
G,Ideal,VVS2,9215,Las Vegas,60.5,1.1,56.0,6.76,6.7,4.07
E,Premium,VS1,1437,Madrid,61.9,0.46,58.0,4.94,4.91,3.05
H,Ideal,VVS1,2739,Antwerp,62.0,0.71,57.0,5.71,5.75,3.55
D,Good,SI2,2221,Kimberly,63.1,0.7,60.0,5.56,5.62,3.53
D,Very Good,VS2,1793,Madrid,63.5,0.51,56.0,5.1,5.07,3.23
H,Very Good,VS1,10652,Paris,63.4,1.5,59.0,7.13,7.2,4.54
G,Very Good,SI1,6704,Kimberly,62.4,1.22,57.0,6.75,6.8,4.23
E,Very Good,SI1,698,Surat,63.4,0.31,55.0,4.35,4.32,2.75
E,Ideal,VS2,2633,Amsterdam,61.4,0.7,57.0,5.76,5.8,3.55
I,Ideal,VS1,473,Surat,62.5,0.3,57.0,4.29,4.32,2.69
F,Premium,SI2,1240,Luxembourg,60.0,0.54,60.0,5.27,5.22,3.24
D,Premium,SI2,631,Antwerp,59.5,0.33,59.0,4.5,4.48,2.67
E,Premium,SI2,1206,Antwerp,62.6,0.56,59.0,5.2,5.24,3.27
E,Premium,VVS2,1129,Amsterdam,61.1,0.39,59.0,4.68,4.74,2.88
E,Very Good,VS1,7367,Luxembourg,59.4,1.0,56.0,6.53,6.56,3.89
G,Premium,SI2,6260,Las Vegas,62.4,1.37,58.0,7.1,7.0,4.4
H,Very Good,VS1,807,Kimberly,62.7,0.4,56.0,4.71,4.73,2.96
H,Premium,IF,816,Madrid,61.0,0.31,58.0,4.34,4.38,2.66
H,Good,SI1,4389,Kimberly,62.7,1.0,60.0,6.24,6.3,3.93
E,Ideal,IF,1004,Amsterdam,60.6,0.32,60.0,4.43,4.45,2.69
G,Very Good,IF,5670,Antwerp,63.1,0.9,58.0,6.18,6.09,3.87
D,Premium,SI1,990,Madrid,60.8,0.4,59.0,4.8,4.77,2.91
H,Premium,SI1,5706,Kimberly,59.5,1.09,58.0,6.73,6.71,4.0
E,Premium,VS2,13678,Madrid,61.8,1.63,58.0,7.57,7.49,4.65
H,Very Good,SI1,4369,Tel Aviv,62.6,1.01,58.0,6.34,6.44,4.0
E,Premium,VS2,8480,Amsterdam,58.2,1.34,60.0,7.26,7.21,4.21
I,Ideal,SI2,348,Antwerp,62.0,0.3,54.0,4.31,4.34,2.68
D,Ideal,VS2,1002,Paris,61.8,0.33,56.0,4.48,4.45,2.76
H,Ideal,VVS2,10129,Paris,61.6,1.43,54.0,7.25,7.29,4.48
D,Ideal,SI1,7216,Kimberly,61.9,1.18,55.0,6.8,6.76,4.2
I,Ideal,VS1,3867,Kimberly,62.9,0.9,58.0,6.13,6.18,3.87
H,Very Good,SI1,4876,New York City,61.8,1.01,59.0,6.37,6.41,3.95
J,Premium,I1,10628,Surat,62.3,2.63,61.0,8.81,8.76,5.47
E,Premium,IF,11838,Antwerp,59.0,1.05,58.0,6.66,6.7,3.94
G,Very Good,VS1,1624,Luxembourg,61.0,0.5,59.0,5.09,5.14,3.12
D,Ideal,VS1,601,Tel Aviv,61.0,0.3,58.0,4.3,4.36,2.64
E,Good,VVS1,801,Luxembourg,59.4,0.32,61.0,4.45,4.48,2.65
E,Ideal,SI1,2907,Kimberly,62.6,0.72,56.0,5.7,5.73,3.58
I,Premium,VVS2,544,Surat,62.1,0.31,58.0,4.33,4.37,2.7
F,Ideal,SI1,583,Madrid,61.3,0.37,55.0,4.61,4.65,2.84
H,Very Good,SI2,15696,Luxembourg,59.0,2.08,59.0,8.37,8.41,4.95
D,Very Good,SI1,1257,Kimberly,63.5,0.5,57.0,5.09,5.05,3.22
E,Ideal,VVS2,864,Kimberly,62.0,0.31,54.0,4.38,4.39,2.72
G,Ideal,VS2,1625,Antwerp,61.0,0.53,55.0,5.23,5.24,3.2
J,Premium,SI2,12380,Antwerp,62.7,2.03,59.0,8.08,8.02,5.05
F,Premium,SI2,5988,Kimberly,62.8,1.2,57.0,6.78,6.73,4.24
E,Ideal,VS2,846,London,61.3,0.32,55.0,4.43,4.47,2.73
G,Premium,VVS1,2236,Surat,60.7,0.54,56.0,5.3,5.25,3.2
G,Ideal,VS2,6955,Amsterdam,60.5,1.04,57.0,6.56,6.62,3.99
H,Ideal,SI1,2548,New York City,60.5,0.7,57.0,5.81,5.79,3.51
G,Premium,VS1,2459,Madrid,58.3,0.7,58.0,5.9,5.86,3.43
E,Ideal,VS2,1596,Paris,62.0,0.55,55.0,5.24,5.28,3.26
F,Very Good,SI1,401,New York City,61.4,0.26,56.0,4.13,4.16,2.54
F,Premium,VS1,1155,Kimberly,61.9,0.44,59.0,4.88,4.84,3.01
H,Premium,SI1,10020,Kimberly,60.7,1.51,59.0,7.43,7.39,4.5
H,Fair,VS1,3924,Madrid,56.0,0.92,60.0,6.53,6.51,3.65
H,Premium,VS1,526,London,61.3,0.3,58.0,4.29,4.32,2.64
G,Fair,I1,6346,New York City,65.6,2.02,57.0,7.87,7.8,5.15
E,Good,VS2,1812,Kimberly,57.6,0.51,62.0,5.33,5.3,3.06
I,Very Good,VS2,2177,London,63.3,0.72,59.0,5.66,5.62,3.57
G,Very Good,SI1,5291,Dubai,61.3,1.02,56.0,6.43,6.53,3.97
H,Ideal,VVS1,708,Luxembourg,62.0,0.32,54.0,4.39,4.42,2.73
I,Premium,VS1,13085,Kimberly,62.2,1.77,58.0,7.76,7.68,4.8
F,Ideal,VVS2,2064,Surat,62.5,0.52,57.0,5.15,5.19,3.23
E,Premium,VS1,5438,Amsterdam,59.4,0.9,59.0,6.31,6.28,3.74
F,Ideal,VS1,18416,London,60.3,1.54,57.0,7.49,7.56,4.54
H,Ideal,SI2,4401,Dubai,60.1,1.06,59.0,6.65,6.63,3.99
I,Ideal,SI2,5419,Madrid,61.7,1.28,59.0,6.96,6.92,4.28
G,Very Good,SI1,2604,Kimberly,62.8,0.71,55.0,5.68,5.73,3.58
E,Ideal,VS2,1689,Madrid,62.6,0.52,57.0,5.09,5.17,3.21
J,Ideal,VS2,16789,Amsterdam,62.2,2.37,57.0,8.58,8.52,5.32
I,Good,VS2,8951,Surat,62.2,1.51,59.0,7.19,7.3,4.51
I,Premium,SI1,5740,Luxembourg,62.4,1.25,58.0,6.89,6.85,4.29
E,Ideal,VS1,972,Dubai,61.5,0.32,56.0,4.4,4.38,2.7
E,Premium,VS1,942,Antwerp,61.0,0.31,58.0,4.39,4.37,2.67
E,Ideal,VVS2,826,Paris,62.3,0.34,55.0,4.49,4.53,2.81
J,Ideal,VS1,506,Las Vegas,59.7,0.3,57.0,4.4,4.37,2.62
I,Premium,SI1,4911,Madrid,60.6,1.11,59.0,6.73,6.66,4.06
E,Premium,VVS1,1397,Las Vegas,61.2,0.4,61.0,4.74,4.7,2.89
I,Very Good,VS2,449,Madrid,61.1,0.32,57.0,4.39,4.42,2.69
F,Ideal,VS2,498,Las Vegas,60.9,0.23,57.0,3.96,3.99,2.42
H,Ideal,SI2,959,Antwerp,61.4,0.55,55.0,5.27,5.29,3.24
E,Ideal,VS1,1834,Surat,61.7,0.46,56.0,4.95,5.0,3.07
G,Premium,VS2,6327,Kimberly,62.3,1.03,59.0,6.42,6.38,3.99
G,Ideal,VVS2,9856,Surat,61.0,1.1,56.0,6.69,6.73,4.09
F,Ideal,SI1,2890,London,62.4,0.8,57.0,5.9,5.87,3.67
E,Premium,SI2,9157,Surat,60.8,1.5,59.0,7.34,7.36,4.47
G,Fair,I1,6597,Surat,67.4,2.1,59.0,7.82,7.76,5.24
I,Very Good,VS1,2353,Zurich,63.4,0.74,57.0,5.81,5.76,3.67
I,Ideal,VS2,651,Kimberly,61.5,0.39,55.0,4.7,4.73,2.9
D,Ideal,VS2,972,London,62.2,0.32,56.0,4.39,4.36,2.72
F,Ideal,VS2,776,Madrid,62.0,0.3,55.0,4.33,4.31,2.68
G,Ideal,VS2,6534,Antwerp,62.0,1.1,56.0,6.6,6.68,4.12
H,Very Good,SI1,421,Antwerp,61.2,0.3,62.0,4.28,4.31,2.63
H,Premium,SI2,4700,Paris,62.0,1.09,57.0,6.61,6.55,4.08
H,Very Good,VVS1,1715,London,63.3,0.5,57.0,5.06,5.02,3.19
G,Very Good,VS2,13161,Surat,61.9,1.52,56.0,7.28,7.39,4.54
G,Premium,VVS2,1909,Luxembourg,61.4,0.5,57.0,5.16,5.1,3.15
I,Ideal,VVS2,2353,Madrid,62.3,0.7,55.0,5.66,5.7,3.54
G,Ideal,VS2,13110,Zurich,62.0,1.54,55.6,7.35,7.44,4.59
E,Very Good,SI2,4398,Antwerp,60.5,1.02,58.0,6.54,6.58,3.97
E,Ideal,VS1,2442,Dubai,61.6,0.6,55.0,5.43,5.48,3.36
G,Premium,VVS1,1264,Madrid,62.3,0.43,59.0,4.83,4.77,2.99
F,Ideal,VS1,618,New York City,62.4,0.26,53.0,4.11,4.13,2.57
G,Ideal,SI2,4209,Las Vegas,62.1,1.01,59.0,6.45,6.41,3.99
G,Very Good,SI1,2462,London,62.3,0.75,59.0,5.77,5.81,3.61
G,Ideal,VS1,854,Paris,61.4,0.33,54.0,4.48,4.44,2.74
G,Very Good,VS2,2338,Surat,63.4,0.7,58.0,5.63,5.57,3.55
G,Very Good,SI1,3293,Tel Aviv,62.9,0.86,55.0,6.04,6.08,3.81
E,Premium,SI2,4656,Zurich,60.8,1.08,59.0,6.57,6.62,4.01
I,Premium,SI2,1696,Surat,62.1,0.71,58.0,5.7,5.67,3.53
F,Good,SI1,7197,Paris,57.5,1.36,60.0,7.36,7.31,4.22
J,Ideal,VS2,875,Luxembourg,61.7,0.5,57.0,5.09,5.12,3.15
F,Ideal,SI1,12466,Las Vegas,62.0,1.5,60.0,7.32,7.29,4.53
D,Ideal,VS2,15996,Surat,62.8,1.5,53.5,7.27,7.33,4.58
G,Ideal,IF,17729,Kimberly,62.4,1.65,55.0,7.61,7.53,4.72
G,Premium,VVS1,8219,Las Vegas,58.9,1.12,60.0,6.91,6.78,4.03
F,Premium,VS2,802,Madrid,62.9,0.31,58.0,4.31,4.27,2.7
I,Ideal,VS1,15092,Surat,61.4,2.2,57.0,8.41,8.37,5.15
J,Good,SI2,6421,Las Vegas,63.6,1.5,58.0,7.25,7.18,4.59
G,Premium,SI2,8190,London,62.0,1.5,62.0,7.31,7.25,4.51
H,Very Good,SI1,5270,Las Vegas,62.4,1.15,57.0,6.68,6.71,4.18
E,Very Good,SI1,1438,Paris,62.5,0.51,57.0,5.06,5.09,3.17
F,Ideal,SI2,1441,Amsterdam,61.3,0.62,55.0,5.55,5.47,3.38
H,Very Good,SI1,1286,Kimberly,63.2,0.56,57.0,5.27,5.23,3.32
F,Good,SI1,8212,Las Vegas,63.7,1.41,58.0,7.06,7.01,4.48
J,Very Good,SI1,5083,Antwerp,61.8,1.2,57.7,6.78,6.91,4.23
D,Very Good,VS2,650,Paris,62.9,0.3,55.0,4.25,4.27,2.68
G,Premium,SI1,574,Paris,62.6,0.3,57.0,4.34,4.25,2.69
F,Ideal,SI2,2445,Madrid,65.3,0.71,53.0,5.64,5.58,3.67
E,Good,SI1,4619,Las Vegas,63.2,1.01,59.0,6.25,6.28,3.96
D,Ideal,VVS2,12261,Kimberly,60.1,1.13,57.0,6.83,6.78,4.09
G,Ideal,VS1,1689,Antwerp,62.4,0.52,56.0,5.11,5.15,3.2
D,Good,SI1,515,Kimberly,63.4,0.3,54.0,4.27,4.31,2.72
E,Ideal,VS2,1624,Dubai,62.6,0.5,54.0,5.08,5.11,3.19
F,Very Good,SI1,6955,Surat,63.3,1.2,58.0,6.63,6.57,4.18
G,Good,VVS2,537,Surat,63.8,0.23,56.0,3.94,3.9,2.5
F,Ideal,SI1,12252,Kimberly,62.6,1.51,57.0,7.31,7.25,4.56
I,Ideal,VVS1,627,Tel Aviv,61.8,0.35,55.0,4.53,4.56,2.81
J,Ideal,SI2,3932,Surat,61.3,1.06,57.0,6.55,6.6,4.03
H,Very Good,VS2,6086,London,61.1,1.19,58.0,6.81,6.83,4.17
F,Ideal,VVS1,1021,London,62.4,0.33,55.0,4.42,4.4,2.75
G,Very Good,VS2,8040,Surat,63.3,1.26,57.0,6.88,6.93,4.37
D,Premium,SI1,4469,London,62.3,1.0,60.0,6.23,6.19,3.87
E,Very Good,SI2,9936,New York City,62.3,1.51,62.0,7.15,7.26,4.49
D,Ideal,VS2,1822,Surat,61.8,0.52,55.0,5.16,5.19,3.2
D,Ideal,SI1,970,Antwerp,61.9,0.42,55.0,4.84,4.79,2.98
D,Ideal,VS2,1892,Amsterdam,61.1,0.54,56.0,5.25,5.29,3.22
F,Very Good,SI1,10684,Paris,63.4,1.5,60.0,7.2,7.27,4.59
H,Good,SI2,3822,Surat,63.9,1.05,56.0,6.44,6.37,4.09
F,Very Good,SI1,2196,Surat,62.7,0.7,57.0,5.63,5.67,3.54
E,Good,SI1,5630,Antwerp,64.3,1.12,57.0,6.56,6.5,4.2
E,Very Good,VS1,3492,Zurich,61.5,0.73,57.0,5.78,5.83,3.57
G,Very Good,VS2,766,Dubai,60.1,0.38,61.0,4.63,4.66,2.79
H,Very Good,SI2,11780,Amsterdam,63.4,2.01,60.0,7.97,7.89,5.03
G,Premium,VS2,827,Surat,61.6,0.41,58.0,4.73,4.78,2.93
F,Premium,VVS1,740,Las Vegas,60.7,0.25,59.0,4.1,4.07,2.48
G,Very Good,VS1,686,Madrid,61.7,0.34,60.0,4.45,4.49,2.76
E,Ideal,SI1,705,London,61.8,0.41,56.0,4.77,4.78,2.95
G,Premium,VS1,2071,Zurich,59.9,0.58,58.0,5.49,5.37,3.25
E,Premium,VS2,367,Luxembourg,59.8,0.2,62.0,3.79,3.77,2.26
E,Good,VS1,3464,Luxembourg,59.4,0.71,61.0,5.8,5.89,3.47
H,Premium,VVS2,802,Zurich,62.6,0.31,58.0,4.31,4.28,2.69
G,Ideal,VVS1,1043,Kimberly,61.2,0.4,56.0,4.77,4.8,2.93
E,Very Good,SI1,5245,Las Vegas,63.5,1.02,55.0,6.3,6.37,4.02
F,Very Good,SI2,644,Madrid,60.1,0.38,60.0,4.7,4.75,2.84
J,Premium,SI1,3444,Antwerp,58.9,1.02,62.0,6.51,6.43,3.81
F,Premium,SI1,1349,Zurich,63.0,0.54,57.0,5.23,5.18,3.28
H,Ideal,VS2,4678,Paris,62.4,0.91,56.0,6.2,6.14,3.85
D,Ideal,VVS2,834,Tel Aviv,61.7,0.32,57.0,4.39,4.42,2.72
J,Good,VS2,5053,Luxembourg,63.7,1.2,56.0,6.67,6.62,4.23
F,Premium,VS1,833,Antwerp,62.7,0.37,51.0,4.65,4.57,2.89
H,Premium,SI2,18745,London,59.4,2.36,58.0,8.69,8.75,5.18
E,Good,VS2,1736,Antwerp,61.4,0.56,62.0,5.34,5.28,3.26
I,Premium,SI1,17714,London,61.1,2.21,59.0,8.42,8.37,5.13
G,Good,VS2,3250,Kimberly,62.9,0.81,58.0,5.88,5.94,3.72
H,Very Good,SI2,11780,Luxembourg,63.4,2.01,60.0,7.97,7.89,5.03
H,Ideal,SI2,5810,Surat,61.2,1.25,57.0,6.93,6.89,4.23
I,Ideal,SI1,5006,Madrid,62.2,1.11,54.0,6.64,6.68,4.14
E,Premium,SI2,4730,Tel Aviv,61.8,1.03,56.0,6.5,6.47,4.01
G,Ideal,VS1,1668,Tel Aviv,61.9,0.51,56.0,5.11,5.14,3.17
E,Ideal,VVS2,1166,Antwerp,62.4,0.4,59.0,4.7,4.73,2.94
G,Ideal,SI2,14421,London,62.5,2.54,55.0,8.75,8.69,5.45
E,Very Good,SI1,5372,Kimberly,61.5,1.01,60.0,6.39,6.42,3.94
E,Premium,VS2,928,Surat,61.5,0.33,59.0,4.46,4.42,2.73
H,Ideal,SI1,12843,Kimberly,62.1,1.78,57.0,7.77,7.73,4.81
D,Very Good,VS1,5795,London,59.1,0.9,60.0,6.24,6.28,3.7
F,Good,SI2,3470,Kimberly,57.9,0.9,62.0,6.23,6.35,3.64
I,Ideal,VS2,438,Kimberly,61.5,0.3,58.0,4.28,4.31,2.64
I,Premium,SI1,447,Antwerp,60.2,0.34,59.0,4.52,4.55,2.73
I,Ideal,VS2,4157,Paris,62.0,0.9,53.0,6.17,6.23,3.85
F,Premium,I1,7532,Antwerp,60.1,1.72,58.0,7.77,7.74,4.66
G,Ideal,SI1,2351,Kimberly,62.5,0.73,55.0,5.78,5.74,3.6
G,Premium,VS2,8818,Paris,60.3,1.31,59.0,7.08,7.12,4.28
H,Premium,VS2,7246,London,60.4,1.25,59.0,6.92,6.96,4.19
G,Ideal,VVS2,1974,Kimberly,62.6,0.51,57.0,5.12,5.1,3.2
J,Good,VS2,13542,Kimberly,61.4,2.0,63.0,8.01,8.08,4.94
J,Premium,VS1,14399,Kimberly,60.7,2.35,60.0,8.64,8.6,5.23
F,Good,VS2,1605,Surat,63.6,0.52,56.0,5.12,5.07,3.24
F,Very Good,VVS2,2035,Las Vegas,62.9,0.52,57.0,5.11,5.13,3.22
G,Ideal,IF,871,Kimberly,61.7,0.31,55.0,4.37,4.39,2.7
J,Very Good,VS2,1287,Dubai,61.9,0.59,58.0,5.35,5.38,3.32
F,Good,SI2,2130,Madrid,64.1,0.71,60.0,0.0,0.0,0.0
F,Ideal,SI2,4197,Madrid,60.8,1.01,55.0,6.52,6.48,3.95
G,Ideal,VS2,743,Antwerp,62.8,0.33,54.0,4.42,4.4,2.77
E,Premium,SI1,1443,New York City,61.8,0.51,58.0,5.15,5.11,3.17
F,Very Good,SI1,1316,Kimberly,60.7,0.55,57.0,5.27,5.3,3.21
E,Ideal,SI1,15992,Paris,62.2,1.74,56.0,7.72,7.67,4.79
G,Ideal,IF,9012,Antwerp,62.5,1.05,56.0,6.52,6.48,4.06
D,Premium,SI1,2913,Antwerp,61.4,0.71,58.0,5.75,5.79,3.54
D,Ideal,SI2,477,London,62.4,0.32,54.0,4.38,4.4,2.74
G,Ideal,SI2,2480,Kimberly,61.8,0.7,53.0,5.73,5.69,3.53
G,Ideal,SI1,4708,Kimberly,60.3,1.02,56.0,6.57,6.54,3.95
D,Very Good,SI1,619,Zurich,60.1,0.32,60.0,4.38,4.4,2.64
H,Ideal,SI1,3985,Paris,61.6,0.93,54.0,6.29,6.33,3.89
F,Ideal,VS2,7823,Surat,61.9,1.11,55.0,6.62,6.66,4.11
F,Ideal,VVS2,1115,Luxembourg,61.2,0.41,56.0,4.78,4.8,2.93
E,Very Good,VS1,568,Luxembourg,63.0,0.3,57.0,4.25,4.29,2.69
F,Very Good,IF,530,Dubai,59.5,0.23,58.0,4.0,4.03,2.39
E,Premium,SI1,992,Dubai,61.6,0.42,59.0,4.85,4.83,2.98
E,Very Good,VVS1,995,Surat,63.5,0.3,57.0,4.27,4.23,2.7
J,Very Good,VS2,7308,Las Vegas,60.5,1.5,63.0,7.32,7.27,4.41
H,Premium,SI1,421,Luxembourg,59.3,0.3,59.0,4.36,4.38,2.59
D,Ideal,VS2,1718,Amsterdam,60.3,0.57,57.0,5.42,5.4,3.26
H,Ideal,VS2,539,Zurich,61.8,0.33,54.0,4.45,4.48,2.76
I,Ideal,SI2,13879,Madrid,61.6,2.07,56.0,8.16,8.18,5.04
E,Very Good,SI1,5539,Antwerp,62.5,1.09,57.0,6.55,6.61,4.11
D,Premium,VS2,998,Surat,60.9,0.38,58.0,4.67,4.63,2.83
F,Premium,SI1,4969,Dubai,62.3,1.01,59.0,6.38,6.4,3.98
F,Premium,SI2,523,Surat,63.0,0.31,58.0,4.36,4.34,2.74
H,Ideal,VVS2,854,Luxembourg,60.9,0.33,57.0,4.52,4.48,2.74
I,Ideal,VVS2,788,Antwerp,62.3,0.35,57.0,4.53,4.49,2.81
G,Ideal,VVS2,1050,Antwerp,62.4,0.4,56.0,4.74,4.72,2.95
D,Premium,VVS2,1323,Antwerp,60.8,0.4,59.0,4.81,4.76,2.91
D,Very Good,SI1,794,Madrid,63.2,0.36,56.0,4.56,4.52,2.87
G,Premium,VS2,6532,Surat,62.4,1.08,57.0,6.56,6.49,4.07
G,Ideal,IF,559,Antwerp,61.8,0.24,55.0,3.99,4.02,2.47
E,Good,SI2,588,Surat,64.0,0.35,55.0,4.49,4.45,2.86
D,Ideal,SI1,6157,Kimberly,61.3,1.02,56.0,6.48,6.53,3.99
H,Ideal,SI1,1255,Luxembourg,62.2,0.58,57.0,5.34,5.37,3.33
E,Good,VS2,1554,Tel Aviv,59.2,0.51,62.0,5.22,5.29,3.11
G,Very Good,VVS2,7234,Kimberly,62.8,1.01,58.0,6.38,6.42,4.02
D,Premium,SI2,1388,Amsterdam,60.4,0.56,58.0,5.32,5.37,3.23
H,Very Good,VS1,526,Zurich,60.4,0.3,61.0,4.27,4.31,2.59
E,Good,SI2,638,Antwerp,63.2,0.41,58.0,4.68,4.72,2.97
E,Premium,SI2,3856,Madrid,60.4,0.9,59.0,6.24,6.21,3.76
H,Ideal,VS1,17983,Luxembourg,61.9,2.01,57.0,8.15,8.05,5.01
D,Ideal,VS2,1063,Las Vegas,62.3,0.35,55.0,4.54,4.52,2.82
D,Premium,VS1,3183,Antwerp,60.9,0.7,60.0,5.75,5.71,3.49
